City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
78,Puchezh,RU,56.9788,43.1676,37.42,77,7,8.63,clear sky
79,Krasnokamensk,RU,50.0979,118.0369,43.86,41,100,2.62,overcast clouds
80,Carnarvon,AU,-24.8667,113.6333,71.94,62,2,11.88,clear sky
81,Yinchuan,CN,38.4681,106.2731,61.65,48,91,2.95,overcast clouds
82,Chicama,PE,-7.8447,-79.1469,57.74,79,85,4.52,overcast clouds
83,Wuning,CN,29.2589,120.2311,70.18,47,28,5.1,scattered clouds
84,Mashhad,IR,36.297,59.6062,48.34,87,75,4.61,mist
85,Inirida,CO,3.8653,-67.9239,74.48,96,100,1.83,overcast clouds
86,Ikalamavony,MG,-21.15,46.5833,61.68,75,0,5.12,clear sky
87,Bluff,NZ,-46.6,168.3333,56.8,71,58,30.96,broken clouds
88,Tazovskiy,RU,67.4667,78.7,35.15,97,100,16.15,light snow
89,Tasiilaq,GL,65.6145,-37.6368,35.76,97,100,7.34,light rain
90,Thompson,CA,55.7435,-97.8558,32.16,100,100,2.3,mist
91,Jamestown,US,42.097,-79.2353,44.19,98,100,10.36,light rain
92,Salalah,OM,17.0151,54.0924,73.49,64,0,3.44,clear sky
93,Moerai,PF,-22.4333,-151.3333,73.06,79,5,19.93,clear sky
94,Tuatapere,NZ,-46.1333,167.6833,51.98,67,57,18.25,broken clouds
95,Noumea,NC,-22.2763,166.4572,80.58,64,88,14.65,overcast clouds
96,Marsa Matruh,EG,31.3525,27.2453,67.96,71,1,2.57,clear sky
97,Torbay,CA,47.6666,-52.7314,56.28,96,100,11.5,mist
98,Camana,PE,-16.6228,-72.7111,61.05,86,77,7.7,broken clouds
99,Kisangani,CD,0.5167,25.2,68.41,99,100,1.01,light rain
100,Plymouth,US,41.8334,-70.8328,50.72,75,0,4.61,clear sky
101,Altea,ES,38.5989,-0.0514,72.3,82,100,7.56,overcast clouds
102,Naze,JP,28.3667,129.4833,76.12,58,7,22.28,clear sky
103,Avera,US,33.194,-82.5271,42.91,49,0,6.64,clear sky
104,Cidreira,BR,-30.1811,-50.2056,62.82,94,72,5.75,broken clouds
105,Vila,PT,42.0304,-8.1588,49.08,88,84,7.76,broken clouds
106,Sorong,ID,-0.8833,131.25,84.36,70,51,3.89,broken clouds
107,Shimoda,JP,34.6667,138.95,64.76,51,0,6.76,clear sky
108,Iqaluit,CA,63.7506,-68.5145,26.33,68,75,17.27,broken clouds
109,Whitianga,NZ,-36.8333,175.7,62.55,58,98,14.0,light rain
110,Nikolskoye,RU,59.7035,30.7861,35.49,94,82,4.85,broken clouds
111,Inta,RU,66.0317,60.1659,31.1,96,100,11.56,light snow
112,Kristiinankaupunki,FI,62.2743,21.376,44.47,83,64,10.42,broken clouds
113,Miramar,US,25.9873,-80.2323,66.0,82,75,8.05,broken clouds
114,Hobyo,SO,5.3505,48.5268,78.75,81,35,16.53,scattered clouds
115,Fairbanks,US,64.8378,-147.7164,35.82,92,100,0.0,fog
116,Longyearbyen,SJ,78.2186,15.6401,28.24,64,75,11.5,broken clouds
117,Pemba,MZ,-12.974,40.5178,72.3,94,20,6.91,few clouds
118,Mount Gambier,AU,-37.8333,140.7667,71.2,54,6,8.57,clear sky
119,Bambanglipuro,ID,-7.95,110.2833,81.37,79,100,7.14,overcast clouds
120,Dawlatabad,AF,36.4141,64.9053,54.36,52,0,15.64,clear sky
121,Bengkulu,ID,-3.8004,102.2655,80.4,76,100,4.03,overcast clouds
122,New Norfolk,AU,-42.7826,147.0587,65.71,46,8,3.0,clear sky
123,Hofn,IS,64.2539,-15.2082,41.7,76,6,12.88,clear sky
124,Bambous Virieux,MU,-20.3428,57.7575,73.22,77,20,0.0,few clouds
125,Correntina,BR,-13.3433,-44.6367,71.44,37,0,5.03,clear sky
126,Belyy Gorodok,RU,56.965,37.5125,37.0,92,91,4.41,overcast clouds
127,Celestun,MX,20.8667,-90.4,75.47,80,100,15.19,overcast clouds
128,Asfi,MA,32.2994,-9.2372,70.05,62,100,2.15,overcast clouds
129,Nguruka,TZ,-5.1092,31.0419,69.85,76,100,3.36,light rain
130,Alofi,NU,-19.0595,-169.9187,80.49,74,64,6.91,broken clouds
